index_id_intake,animal_id_intake,datetime_intake,monthyear_intake,found_location,intake_type,intake_condition,animal_type_intake,sex_upon_intake,age_upon_intake,breed_intake,color_intake,Age_Upon_Intake(days),Age_Upon_Intake(years),age_range_intake,intake_month,intake_year,intake_weekday,intake_hour,intake_frequency,order_of_intake,breed_intake_subtype,breed_contains_pitbull,sex_upon_intake_subtype,time_in_shelter,days_in_shelter
78113,A863126,2022-08-04 18:42:00,Aug-22,9001 Northgate in Austin (TX),Stray,Normal,Cat,Intact Female,1 year,Domestic Shorthair Mix,Torbie,365,1,"(-0.001, 2.5]",8,2022,Thursday,18,1,1,Mix,N,Female,34 days 05:52:47.648944,34
65025,A863159,2022-08-05 12:07:00,Aug-22,Travis (TX),Owner Surrender,Normal,Cat,Intact Male,1 month,Domestic Shorthair,Black,31,0.08,"(-0.001, 2.5]",8,2022,Friday,12,1,1,Purebreed,N,Male,33 days 12:27:47.648944,33
108727,A863160,2022-08-05 12:07:00,Aug-22,Travis (TX),Owner Surrender,Normal,Cat,Intact Male,1 month,Domestic Shorthair,Black,31,0.08,"(-0.001, 2.5]",8,2022,Friday,12,1,1,Purebreed,N,Male,33 days 12:27:47.648944,33
107201,A863161,2022-08-05 12:07:00,Aug-22,Travis (TX),Owner Surrender,Normal,Cat,Intact Female,1 month,Domestic Shorthair,Tortie,31,0.08,"(-0.001, 2.5]",8,2022,Friday,12,1,1,Purebreed,N,Female,33 days 12:27:47.648944,33
52941,A863129,2022-08-04 18:42:00,Aug-22,9001 Northgate in Austin (TX),Stray,Normal,Cat,Unknown,0 years,Domestic Shorthair Mix,Orange Tabby,0,0,"(-0.001, 2.5]",8,2022,Thursday,18,1,1,Mix,N,Male,34 days 05:52:47.648944,34
89385,A863262,2022-08-07 15:57:00,Aug-22,8201 Corrigan Pass in Austin (TX),Stray,Injured,Dog,Intact Male,2 years,Siberian Husky/German Shepherd,Black/White,730,2,"(-0.001, 2.5]",8,2022,Sunday,15,1,1,Purebreed,N,Male,31 days 08:37:47.648944,31
25439,A863130,2022-08-04 18:42:00,Aug-22,9001 Northgate in Austin (TX),Stray,Normal,Cat,Unknown,0 years,Domestic Shorthair Mix,Orange Tabby,0,0,"(-0.001, 2.5]",8,2022,Thursday,18,1,1,Mix,N,Male,34 days 05:52:47.648944,34
126121,A863131,2022-08-04 18:42:00,Aug-22,9001 Northgate in Austin (TX),Stray,Normal,Cat,Unknown,0 years,Domestic Shorthair Mix,Orange Tabby,0,0,"(-0.001, 2.5]",8,2022,Thursday,18,1,1,Mix,N,Male,34 days 05:52:47.648944,34
35120,A863132,2022-08-04 18:42:00,Aug-22,9001 Northgate in Austin (TX),Stray,Normal,Cat,Unknown,0 years,Domestic Shorthair Mix,Orange Tabby,0,0,"(-0.001, 2.5]",8,2022,Thursday,18,1,1,Mix,N,Male,34 days 05:52:47.648944,34
90492,A863172,2022-08-19 18:08:00,Aug-22,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,2 years,Catahoula Mix,Brown Merle/White,730,2,"(-0.001, 2.5]",8,2022,Friday,18,2,2,Mix,N,Male,19 days 06:26:47.648944,19
