index_id_intake,animal_id_intake,datetime_intake,monthyear_intake,found_location,intake_type,intake_condition,animal_type_intake,sex_upon_intake,age_upon_intake,breed_intake,color_intake,age_upon_intake(days),age_upon_intake(years),age_range_intake,intake_month,intake_year,intake_weekday,intake_hour,intake_frequency,order_of_intake,breed_intake_subtype,main_breed_intake,breed_contains_pitbull,sex_upon_intake_subtype,time_in_shelter,days_in_shelter,zipcode_intake,longitude_intake,latitude_intake
141971,A821835,2021-03-02 15:19:00,March 2021,Outside Jurisdiction,Owner Surrender,Normal,Dog,Spayed Female,5 years,Pit Bull,Blue Tiger/White,1825,5,"(2.5, 5.0]",3,2021,Tuesday,15,3,3,Purebred,Pit Bull,Y,Female,567 days 03:21:25.734475,567,,,
92197,A818370,2022-02-02 09:21:00,February 2022,2301 Lawnmont Avenue in Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,9 years,Domestic Shorthair,Tortie/Tortie,3285,9,"(7.5, 10.0]",2,2022,Wednesday,9,2,2,Purebred,Domestic Shorthair,N,Female,230 days 09:19:25.734475,230,,,
132868,A822018,2022-08-17 11:19:00,August 2022,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,2 years,Domestic Shorthair,Brown Tabby/White,730,2,"(-0.001, 2.5]",8,2022,Wednesday,11,2,2,Purebred,Domestic Shorthair,N,Male,34 days 08:21:25.734475,34,,,
16043,A812967,2022-07-13 13:00:00,July 2022,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,3 years,Treeing Walker Coonhound Mix,White/Brown,1095,3,"(2.5, 5.0]",7,2022,Wednesday,13,3,3,Mix,Treeing Walker Coonhound,N,Female,69 days 06:40:25.734475,69,,,
40156,A823587,2021-12-09 13:34:00,December 2021,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,5 years,American Pit Bull Terrier,Black/White,1825,5,"(2.5, 5.0]",12,2021,Thursday,13,2,2,Purebred,American Pit Bull Terrier,Y,Female,285 days 05:06:25.734475,285,,,
66680,A827054,2022-06-10 12:51:00,June 2022,2405 Devonshire in Austin (TX),Public Assist,Normal,Dog,Neutered Male,3 years,Labrador Retriever,Tan/White,1095,3,"(2.5, 5.0]",6,2022,Friday,12,2,2,Purebred,Labrador Retriever,N,Male,102 days 06:49:25.734475,102,,,
75208,A826905,2022-05-10 15:25:00,May 2022,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,3 years,Catahoula/Pit Bull,Blue Merle/White,1095,3,"(2.5, 5.0]",5,2022,Tuesday,15,5,5,Purebred,Catahoula,Y,Female,133 days 04:15:25.734475,133,,,
84584,A825750,2022-03-01 13:26:00,March 2022,1300 Parker Lane in Austin (TX),Owner Surrender,Injured,Dog,Neutered Male,5 years,Pit Bull Mix,Black/White,1825,5,"(2.5, 5.0]",3,2022,Tuesday,13,1,1,Mix,Pit Bull,Y,Male,203 days 05:14:25.734475,203,,,
85328,A827522,2020-12-23 15:06:00,December 2020,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,4 years,Australian Shepherd/Labrador Retriever,Tan/White,1460,4,"(2.5, 5.0]",12,2020,Wednesday,15,1,1,Purebred,Australian Shepherd,N,Male,636 days 03:34:25.734475,636,,,
10332,A828658,2021-01-22 15:52:00,January 2021,6104 Old Fredericksburg Road in Austin (TX),Stray,Injured,Cat,Intact Male,2 years,Domestic Shorthair,Brown Tabby,730,2,"(-0.001, 2.5]",1,2021,Friday,15,1,1,Purebred,Domestic Shorthair,N,Male,606 days 02:48:25.734475,606,78749,-97.85000986899996,30.234103895000032
35055,A827672,2022-04-12 14:12:00,April 2022,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,4 years,Border Collie Mix,White/Brown,1460,4,"(2.5, 5.0]",4,2022,Tuesday,14,2,2,Mix,Border Collie,N,Female,161 days 05:28:25.734475,161,,,
50272,A828866,2022-01-03 12:45:00,January 2022,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,1 year,American Staffordshire Terrier/Boxer,Brown Brindle/White,365,1,"(-0.001, 2.5]",1,2022,Monday,12,2,2,Purebred,American Staffordshire Terrier,N,Male,260 days 05:55:25.734475,260,,,
30895,A832659,2021-06-10 18:05:00,June 2021,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,1 year,Pit Bull/Plott Hound,White/Brown Brindle,365,1,"(-0.001, 2.5]",6,2021,Thursday,18,2,2,Purebred,Pit Bull,Y,Female,467 days 01:35:25.734475,467,,,
130526,A829344,2021-02-08 15:09:00,February 2021,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,6 years,Black Mouth Cur/Pit Bull,Brown,2190,6,"(5.0, 7.5]",2,2021,Monday,15,1,1,Purebred,Black Mouth Cur,Y,Male,589 days 03:31:25.734475,589,,,
107143,A829757,2021-02-22 15:07:00,February 2021,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,8 years,Domestic Shorthair,Orange Tabby/White,2920,8,"(7.5, 10.0]",2,2021,Monday,15,1,1,Purebred,Domestic Shorthair,N,Female,575 days 03:33:25.734475,575,,,
92043,A832508,2021-09-18 17:00:00,September 2021,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,2 years,German Shepherd/Siberian Husky,Black/Tan,730,2,"(-0.001, 2.5]",9,2021,Saturday,17,2,2,Purebred,German Shepherd,N,Female,367 days 02:40:25.734475,367,,,
106184,A831926,2022-07-19 13:25:00,July 2022,5403 Fairmont Circle in Austin (TX),Owner Surrender,Injured,Dog,Intact Male,1 year,Rat Terrier/Cardigan Welsh Corgi,Brown/White,365,1,"(-0.001, 2.5]",7,2022,Tuesday,13,1,1,Purebred,Rat Terrier,N,Male,63 days 06:15:25.734475,63,78745,-97.79778596399996,30.21850149100004
143371,A833537,2022-08-25 11:18:00,August 2022,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,6 years,German Shepherd,Black/Brown,2190,6,"(5.0, 7.5]",8,2022,Thursday,11,5,5,Purebred,German Shepherd,N,Male,26 days 08:22:25.734475,26,,,
20175,A833548,2022-06-17 16:55:00,June 2022,Travis (TX),Owner Surrender,Normal,Dog,Spayed Female,5 years,Pit Bull Mix,Red/White,1825,5,"(2.5, 5.0]",6,2022,Friday,16,2,2,Mix,Pit Bull,Y,Female,95 days 02:45:25.734475,95,,,
45689,A834618,2022-07-15 11:57:00,July 2022,8404 Gilwice in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,German Shepherd Mix,Brown,730,2,"(-0.001, 2.5]",7,2022,Friday,11,1,1,Mix,German Shepherd,N,Female,67 days 07:43:25.734475,67,,,
108678,A837907,2022-07-14 16:40:00,July 2022,Austin (TX),Stray,Normal,Dog,Neutered Male,2 years,Pit Bull Mix,Brown/White,730,2,"(-0.001, 2.5]",7,2022,Thursday,16,2,2,Mix,Pit Bull,Y,Male,68 days 03:00:25.734475,68,,,
143609,A835010,2022-08-17 12:02:00,August 2022,1811 Mearns Meadow in Austin (TX),Stray,Injured,Cat,Neutered Male,5 years,Domestic Shorthair,Brown Tabby/White,1825,5,"(2.5, 5.0]",8,2022,Wednesday,12,1,1,Purebred,Domestic Shorthair,N,Male,34 days 07:38:25.734475,34,,,
55848,A838100,2021-07-02 15:11:00,July 2021,5312 Harmon Avenue in Austin (TX),Stray,Injured,Cat,Spayed Female,5 years,Domestic Shorthair Mix,Torbie,1825,5,"(2.5, 5.0]",7,2021,Friday,15,1,1,Mix,Domestic Shorthair,N,Female,445 days 04:29:25.734475,445,78751,-97.71030082599998,30.313040087000047
112780,A840106,2021-08-02 15:01:00,August 2021,8400 Waxing Court in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Pit Bull Mix,Black/White,730,2,"(-0.001, 2.5]",8,2021,Monday,15,1,1,Mix,Pit Bull,Y,Male,414 days 04:39:25.734475,414,,,
101338,A838265,2022-05-21 14:56:00,May 2022,Emerald Wood And 1St in Austin (TX),Stray,Normal,Dog,Neutered Male,1 year,Australian Cattle Dog Mix,Red Tick/Brown,365,1,"(-0.001, 2.5]",5,2022,Saturday,14,2,2,Mix,Australian Cattle Dog,N,Male,122 days 04:44:25.734475,122,,,
41521,A838267,2021-07-06 11:34:00,July 2021,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,10 years,Golden Retriever Mix,Tan,3650,10,"(7.5, 10.0]",7,2021,Tuesday,11,1,1,Mix,Golden Retriever,N,Male,441 days 08:06:25.734475,441,,,
4467,A839452,2022-06-27 17:32:00,June 2022,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,3 years,American Pit Bull Terrier,Brown Brindle/White,1095,3,"(2.5, 5.0]",6,2022,Monday,17,2,2,Purebred,American Pit Bull Terrier,Y,Female,85 days 02:08:25.734475,85,,,
122003,A839609,2022-03-07 16:17:00,March 2022,1711 Rutland Drive in Austin (TX),Abandoned,Normal,Dog,Intact Male,2 years,Pit Bull Mix,White/Tan,730,2,"(-0.001, 2.5]",3,2022,Monday,16,1,1,Mix,Pit Bull,Y,Male,197 days 02:23:25.734475,197,,,
64890,A840302,2021-08-05 15:03:00,August 2021,1003 West Rundberg Lane in Austin (TX),Stray,Normal,Dog,Intact Female,6 years,Labrador Retriever,Brown,2190,6,"(5.0, 7.5]",8,2021,Thursday,15,1,1,Purebred,Labrador Retriever,N,Female,411 days 04:37:25.734475,411,78758,-97.70008306199998,30.364517466000052
6424,A840773,2021-08-13 14:44:00,August 2021,7201 Levander Loop in Austin (TX),Stray,Normal,Dog,Spayed Female,5 years,Labrador Retriever/Black/Tan Hound,Black,1825,5,"(2.5, 5.0]",8,2021,Friday,14,1,1,Purebred,Labrador Retriever,N,Female,403 days 04:56:25.734475,403,,,
109105,A841281,2022-06-07 10:44:00,June 2022,13145 N 183 in Austin (TX),Abandoned,Injured,Dog,Neutered Male,1 year,Pit Bull Mix,Brown/White,365,1,"(-0.001, 2.5]",6,2022,Tuesday,10,3,3,Mix,Pit Bull,Y,Male,105 days 08:56:25.734475,105,,,
28268,A841991,2021-09-07 21:48:00,September 2021,2000 Rendova in Travis (TX),Stray,Normal,Dog,Intact Male,2 years,Pit Bull Mix,Brown/Brown Brindle,730,2,"(-0.001, 2.5]",9,2021,Tuesday,21,1,1,Mix,Pit Bull,Y,Male,377 days 21:52:25.734475,377,,,
78102,A840685,2021-08-12 09:19:00,August 2021,1305 Walnut Avenue in Austin (TX),Stray,Normal,Dog,Intact Male,5 years,Pit Bull Mix,White/Black,1825,5,"(2.5, 5.0]",8,2021,Thursday,9,1,1,Mix,Pit Bull,Y,Male,404 days 10:21:25.734475,404,,,
2479,A841392,2022-08-15 16:19:00,August 2022,Austin (TX),Owner Surrender,Normal,Other,Intact Male,2 years,Guinea Pig,Tricolor,730,2,"(-0.001, 2.5]",8,2022,Monday,16,2,2,Purebred,Guinea Pig,N,Male,36 days 03:21:25.734475,36,,,
113754,A841393,2022-08-15 16:19:00,August 2022,Austin (TX),Owner Surrender,Normal,Other,Intact Male,2 years,Guinea Pig,Black/Tricolor,730,2,"(-0.001, 2.5]",8,2022,Monday,16,2,2,Purebred,Guinea Pig,N,Male,36 days 03:21:25.734475,36,,,
